smiles,fitness
C[C@]1(C(=O)c2ccc3ccccc3c2)CCCO1,9.7
O=C([O-])[C@H]1CCCN(c2ncccn2)C1,7.7
Cc1ccc(NC(=O)c2ccnc(Cl)c2)cc1Br,9.3
Cc1ccc(-c2nc3cccc(Cl)c3s2)cc1N,9.8
Cc1cccc(NC(=O)[C@@H](C)NC(=O)OC(C)(C)C)n1,8.8
O=C(NCCCO)Nc1cccc(F)c1,7.5
Cn1ncnc1CCNc1cncc(Br)c1,6.8
Cc1cc(F)cc(N[C@@H]2CCC[C@@H]2S(C)(=O)=O)c1,8.3
CCS(=O)(=O)c1ccccc1C(=O)N1CCO[C@H](C)C1,7.4
CC1(C)CCC(C(=O)[O-])(C2CCCCC2)CC1,8.8
C[C@@H]([NH2+]C1CCN(S(C)(=O)=O)CC1)c1ccccc1,8.0
Cn1ccc(-c2noc([C@@H]3Cc4[nH+]c[nH]c4CN3)n2)n1,8.7
C[C@H]1CN(C(=O)/C=C/c2cccc([N+](=O)[O-])c2)C[C@H](C)O1,9.2
CCCOc1ccccc1NC(=O)c1coc(Br)c1,8.0
O=c1[nH]cnc(Oc2ccccc2)c1[N+](=O)[O-],8.6
CC(C)[C@H](Oc1cccc(Cl)c1)C(=O)NNC(=O)c1cn[nH]n1,9.5
C[NH2+][C@@]1(CO)CCC[C@@H](Oc2ccccc2C)C1,8.0
Nc1c(C(=O)c2cccs2)sc2nsc(SCC[NH+]3CCCCC3)c12,8.8
O=C(NCC1CCN(S(=O)(=O)C2CC2)CC1)OCc1ccccc1,9.7
Cc1cc(C[N@@H+]2CCCC[C@H]2c2nc3ccccc3s2)no1,8.8
Cc1cc([C@@H](C)NC(=O)N2CC[C@H]([NH+]3CCCC3)C2)cc(C)c1F,9.7
CC[C@@H]1CCCCN1C(=O)Nc1ccc(C(N)=O)c(F)c1,10.0
Cc1nc2ccc(C(=O)N3CCO[C@@H](Cc4ccccc4)C3)cc2nc1C,10.7
CCc1ccccc1NC(=O)N[C@H](C)C(=O)N1CCCC[C@@H]1C,10.1
C[C@@H](Sc1cc2c(cc1Cl)OCCO2)C(=O)Nc1cccnc1Cl,9.3
c1cncc(-c2nc(N3CCCC3)c3c4c(sc3n2)CCCC4)c1,7.9
COC(=O)C(C)(C)C(C)(C)[NH2+]C1CCCC1,6.4
Clc1ccc2[nH]c3c(N4CC[NH+](Cc5ccccc5)CC4)ncnc3c2c1,10.2
C#CCSc1nc([O-])c2c(n1)NC(=O)C[C@@H]2c1ccc(OCC(N)=O)cc1,9.7
COc1ccc(C(=O)c2coc3ccccc3c2=O)cc1,9.5
CC[NH2+]Cc1ncoc1-c1ccc(F)cc1F,7.6
